miasto;Ulica;Nr domu;Kod poczt.;miasto;Publicznoœæ;Uczniowie;odzialy;pelnozatrudnieni;stos. Pracy;w etatach;suma etatów
Poznañ;SIERAKOWSKA;23;60-367;POZNAÑ;001;311;13.00;24;16;6.82;30.82
Poznañ;Miñska;32;61-049;Poznañ;001;103;7.00;3;21;9.71;12.71
Poznañ;Fabianowo;29;60-005;Poznañ;001;180;9.00;2;27;14.21;16.21
Poznañ;Chojnicka;57;60-480;Poznañ;001;613;28.00;50;16;10.44;60.44
Poznañ;HEZJODA;15;60-461;POZNAÑ;001;1 066;49.00;99;46;13.85;112.85
Poznañ;BOSA;9;60-125;POZNAÑ;001;526;26.00;51;18;10.34;61.34
Poznañ;os. Wichrowe Wzgórze;119;61-699;Poznañ;001;483;25.00;52;14;8.02;60.02
Poznañ;Osiedle Piastowskie;65;61-156;Poznañ;001;340;17.00;44;9;4.03;48.03
Poznañ;os. B. Chrobrego;105;60-681;Poznañ;001;759;36.00;61;11;6.03;67.03
Poznañ;os. Armii Krajowej;100;61-381;Poznañ;001;456;22.00;49;3;1.80;50.80
Poznañ;os. Oœwiecenia;1;61-205;Poznañ;001;447;23.00;46;7;4.26;50.26
Poznañ;os. Jagielloñskie;128;61-223;Poznañ;001;377;15.00;29;25;12.91;41.91
Poznañ;os. Rzeczypospolitej;44;61-395;Poznañ;001;517;28.00;68;7;2.74;70.74
Poznañ;Norwida;21;60-867;Poznañ;001;344;19.00;38;9;3.83;41.83
Poznañ;Pr¹dzyñskiego;53;61-527;Poznañ;001;595;40.00;111;33;11.19;122.19
Poznañ;Winiary;2;60-665;Poznañ;001;423;20.00;43;8;4.68;47.68
Poznañ;Os.Piastowskie;27;61-149;Poznañ;001;303;16.00;30;12;5.59;35.59
Poznañ;S³owackiego;54/56;60-521;Poznañ;001;263;14.00;24;16;4.72;28.72
Poznañ;Romana Brandstaettera;6;61-659;Poznañ;001;548;24.00;47;8;4.33;51.33
Poznañ;Rawicka;12/14;60-113;Poznañ;001;497;23.00;43;13;7.71;50.71
Poznañ;Harcerska;3;61-011;POZNAÑ;001;382;20.00;38;9;4.45;42.45
Poznañ;Inowroc³awska;19;61-044;Poznañ;001;397;19.00;37;12;6.73;43.73
Poznañ;Sarmacka;105;61-616;Poznañ;001;281;16.00;37;4;1.22;38.22
Poznañ;Traugutta;42;61-514;Poznañ;001;449;20.00;43;6;3.21;46.21
Poznañ;os.Lecha;37;61-294;Poznañ;001;743;34.00;76;12;6.15;82.15
Poznañ;Ma³oszyñska;38;60-176;Poznañ;001;474;21.00;43;6;3.27;46.27
Poznañ;Szpaków;1;61-065;Poznañ;001;247;13.00;22;10;4.38;26.38
Poznañ;Leœnowolska;35;60-452;Poznañ;001;516;22.00;34;29;14.83;48.83
Poznañ;£awica;3;60-186;Poznañ;001;447;21.00;38;7;3.65;41.65
Poznañ;Baranowska;1;61-353;Poznañ;001;289;16.00;28;17;8.17;36.17
Poznañ;osiedle Rusa;56;61-245;Poznañ;001;825;39.00;113;7;4.14;117.14
Poznañ;Boranta;2;61-608;Poznañ;001;499;23.00;45;5;2.09;47.09
Poznañ;Szczepankowo;72a;61-306;Poznañ;001;583;27.00;53;7;4.54;57.54
Poznañ;Druskienicka;32;60-476;Poznañ;001;610;28.00;43;20;10.90;53.90
Poznañ;Staro³êcka;142;61-341;Poznañ;001;280;13.00;21;13;6.67;27.67
Poznañ;os. Or³a Bia³ego;120;61-251;Poznañ;001;643;31.00;59;11;6.10;65.10
Poznañ;os. PrzyjaŸni;127;61-684;Poznañ;001;682;33.00;72;19;9.89;81.89
Poznañ;Os. St. Batorego;101;60-587;Poznañ;001;820;33.00;71;7;4.10;75.10
Poznañ;os. J. III Sobieskiego;102;60-688;Poznañ;001;207;24.00;62;3;1.74;63.74
Poznañ;Galileusza;14;60-158;Poznañ;001;718;33.00;69;6;3.97;72.97
Poznañ;Piêkna;37;60-591;Poznañ;001;501;24.00;46;7;3.49;49.49
Poznañ;Przybyszewskiego;37;60-356;Poznañ;001;461;23.00;39;12;6.08;45.08
Poznañ;Newtona;2;60-161;Poznañ;001;233;10.00;20;18;9.10;29.10
Poznañ;Drzyma³y;4/6;60-613;Poznañ;001;179;7.00;13;11;5.48;18.48
Poznañ;Trybunalska;17/25;60-325;Poznañ;001;514;24.00;36;20;10.96;46.96
Poznañ;Powstañców Wielkopolskich;3;61-895;Poznañ;001;367;22.00;64;17;9.82;73.82
Poznañ;Dmowskiego;50;60-204;Poznañ;001;462;23.00;40;12;6.80;46.80
Poznañ;¯onkilowa;34;60-175;Poznañ;001;519;26.00;61;9;5.13;66.13
Poznañ;Pogodna;84;60-137;Poznañ;001;314;16.00;27;11;4.46;31.46
Poznañ;Krakowska;10;61-889;Poznañ;001;304;17.00;30;16;6.69;36.69
Poznañ;Brandstaettera;1;61-659;Poznañ;001;256;10.00;19;21;10.36;29.36
Poznañ;œw. Szczepana;3;61-465;Poznañ;001;466;21.00;41;23;7.80;48.80
Poznañ;Tomickiego;16;61-116;Poznañ;001;273;14.00;28;12;4.93;32.93
Poznañ;Swoboda;53;60-389;Poznañ;001;441;22.00;48;8;4.47;52.47
Poznañ;Sochaczewska;3;60-645;POZNAÑ;001;385;18.00;32;10;4.50;36.50
Poznañ;£ukaszewicza;9/13;60-726;Poznañ;001;393;24.00;42;8;4.96;46.96
Poznañ;Chociszewskiego;56;60-261;Poznañ;001;486;22.00;39;13;5.61;44.61
Poznañ;Promyk;4;60-393;Poznañ;001;368;15.00;33;16;4.68;37.68
Poznañ;Juliusza S³owackiego;58/60;60-521;Poznañ;001;226;10.00;15;12;5.35;20.35
Poznañ;al. Niepodleg³oœci;41;61-714;Poznañ;001;323;13.00;16;37;17.29;33.29
